epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,913.978,0.65528,0.52931,0.85802,0.97467,1,0.995,0.78574,0.75787,0.53991,0.85119,0.00055188,0.00055188,0.00055188
64,928.633,0.66056,0.52452,0.85015,0.98381,1,0.995,0.7981,0.69262,0.48514,0.84312,0.000537733,0.000537733,0.000537733
65,942.934,0.67192,0.50999,0.85646,0.98822,1,0.995,0.79221,0.72579,0.49612,0.85241,0.000523586,0.000523586,0.000523586
66,957.286,0.68202,0.52894,0.86193,0.99111,1,0.995,0.76322,0.74187,0.49217,0.85462,0.000509438,0.000509438,0.000509438
67,971.551,0.63925,0.50449,0.85237,0.99066,1,0.995,0.76899,0.74934,0.49493,0.85551,0.000495291,0.000495291,0.000495291
68,985.967,0.61678,0.49591,0.85078,0.99186,1,0.995,0.79664,0.75755,0.49309,0.86459,0.000481144,0.000481144,0.000481144
69,1000.22,0.67232,0.51971,0.85534,0.99302,1,0.995,0.79327,0.76944,0.49722,0.86687,0.000466997,0.000466997,0.000466997
70,1014.54,0.66455,0.51415,0.86403,0.98947,1,0.995,0.81898,0.69411,0.47076,0.84446,0.00045285,0.00045285,0.00045285
71,1028.86,0.63159,0.49051,0.85983,0.98789,1,0.995,0.81679,0.6794,0.46513,0.83911,0.000438703,0.000438703,0.000438703
72,1043.55,0.61387,0.48012,0.8559,0.98884,1,0.995,0.81499,0.66827,0.45769,0.83464,0.000424556,0.000424556,0.000424556
73,1057.62,0.63619,0.49666,0.85282,0.98917,1,0.995,0.79979,0.67793,0.46031,0.83677,0.000410409,0.000410409,0.000410409
74,1071.97,0.62011,0.48268,0.85168,0.987,1,0.995,0.805,0.74245,0.48229,0.84656,0.000396262,0.000396262,0.000396262
75,1086.35,0.63633,0.48298,0.85418,0.98655,1,0.995,0.81587,0.72107,0.46941,0.84365,0.000382115,0.000382115,0.000382115
